time_ns,n,algo,dist,comparisons,moves,reads,writes,allocs,notes
510458,100,selectionsort,random,4950,279,10086,186,1,trial=1
215917,100,selectionsort,random,4950,279,10086,186,1,trial=2
212000,100,selectionsort,random,4950,279,10086,186,1,trial=3
4491292,1000,selectionsort,random,499500,2985,1000990,1990,1,trial=1
2100667,1000,selectionsort,random,499500,2988,1000992,1992,1,trial=2
583167,1000,selectionsort,random,499500,2979,1000986,1986,1,trial=3
52782708,10000,selectionsort,random,49995000,29976,100009984,19984,1,trial=1
30100708,10000,selectionsort,random,49995000,29970,100009980,19980,1,trial=2
30645916,10000,selectionsort,random,49995000,29970,100009980,19980,1,trial=3
2887630041,100000,selectionsort,random,4999950000,299976,10000099984,199984,1,trial=1
2851796125,100000,selectionsort,random,4999950000,299967,10000099978,199978,1,trial=2
2846467500,100000,selectionsort,random,4999950000,299958,10000099972,199972,1,trial=3
27791,100,selectionsort,sorted,4950,0,9900,0,1,trial=1
5750,100,selectionsort,sorted,4950,0,9900,0,1,trial=2
5375,100,selectionsort,sorted,4950,0,9900,0,1,trial=3
294000,1000,selectionsort,sorted,499500,0,999000,0,1,trial=1
287500,1000,selectionsort,sorted,499500,0,999000,0,1,trial=2
284250,1000,selectionsort,sorted,499500,0,999000,0,1,trial=3
28262000,10000,selectionsort,sorted,49995000,0,99990000,0,1,trial=1
28561250,10000,selectionsort,sorted,49995000,0,99990000,0,1,trial=2
28645208,10000,selectionsort,sorted,49995000,0,99990000,0,1,trial=3
2820707833,100000,selectionsort,sorted,4999950000,0,9999900000,0,1,trial=1
2828439417,100000,selectionsort,sorted,4999950000,0,9999900000,0,1,trial=2
2834951084,100000,selectionsort,sorted,4999950000,0,9999900000,0,1,trial=3
10875,100,selectionsort,reversed,4950,156,10004,104,1,trial=1
7416,100,selectionsort,reversed,4950,159,10006,106,1,trial=2
7042,100,selectionsort,reversed,4950,150,10000,100,1,trial=3
346000,1000,selectionsort,reversed,499500,1575,1000050,1050,1,trial=1
355750,1000,selectionsort,reversed,499500,1560,1000040,1040,1,trial=2
341625,1000,selectionsort,reversed,499500,1572,1000048,1048,1,trial=3
33386667,10000,selectionsort,reversed,49995000,15675,100000450,10450,1,trial=1
32902375,10000,selectionsort,reversed,49995000,15669,100000446,10446,1,trial=2
33347542,10000,selectionsort,reversed,49995000,15648,100000432,10432,1,trial=3
3645044208,100000,selectionsort,reversed,4999950000,156795,10000004530,104530,1,trial=1
3623010416,100000,selectionsort,reversed,4999950000,156729,10000004486,104486,1,trial=2
3634704417,100000,selectionsort,reversed,4999950000,156723,10000004482,104482,1,trial=3
9583,100,selectionsort,nearly,4950,15,9910,10,1,trial=1
5458,100,selectionsort,nearly,4950,18,9912,12,1,trial=2
4791,100,selectionsort,nearly,4950,15,9910,10,1,trial=3
305458,1000,selectionsort,nearly,499500,162,999108,108,1,trial=1
287958,1000,selectionsort,nearly,499500,156,999104,104,1,trial=2
304834,1000,selectionsort,nearly,499500,159,999106,106,1,trial=3
27941375,10000,selectionsort,nearly,49995000,1560,99991040,1040,1,trial=1
28401166,10000,selectionsort,nearly,49995000,1569,99991046,1046,1,trial=2
28332750,10000,selectionsort,nearly,49995000,1584,99991056,1056,1,trial=3
2882099791,100000,selectionsort,nearly,4999950000,15657,9999910438,10438,1,trial=1
2900455834,100000,selectionsort,nearly,4999950000,15678,9999910452,10452,1,trial=2
2844884834,100000,selectionsort,nearly,4999950000,15678,9999910452,10452,1,trial=3
